309,5,29,44,79,52,86,65,78,72,70
875,81,4,65,30,82,9,46,56,11,9
617,60,84,2,23,35,90,14,15,82,32
986,21,51,29,35,5,61,46,95,23,23
131,25,94,36,47,84,1,93,63,80,32
505,75,79,81,63,88,33,93,17,54,57
816,30,16,35,25,55,49,81,41,49,97
901,45,75,62,51,76,60,16,14,82,69
33,39,55,53,42,63,13,96,46,89,72
985,85,38,92,42,18,37,29,58,87,87
153,16,97,65,11,17,95,74,54,20,75
699,84,15,62,41,81,58,20,100,92,33
827,46,76,56,4,83,23,49,22,49,55
800,90,56,46,47,95,53,78,43,83,54
328,46,84,68,64,4,73,46,75,39,13
695,17,29,65,6,47,24,37,24,97,27
264,6,7,99,90,90,40,39,100,71,12
647,32,86,74,96,64,7,76,21,42,94
840,81,84,37,88,78,91,8,23,58,29
758,67,11,21,80,91,37,18,49,52,5
282,100,91,99,71,98,89,51,5,7,67
448,1,63,99,16,71,24,18,27,86,53
647,32,84,49,25,56,18,30,17,59,88
740,72,58,40,68,10,25,43,84,60,88
492,82,3,44,82,26,69,36,26,4,68
493,97,30,83,27,25,19,93,54,36,46
387,28,69,73,22,40,42,19,40,7,68
422,76,86,86,84,90,25,53,30,36,42
589,7,5,60,86,48,96,17,46,71,85
500,94,95,75,58,15,8,47,21,71,97
306,10,5,15,69,99,76,61,31,6,25
317,7,32,74,66,89,41,78,76,35,60
633,48,11,71,47,7,79,33,46,97,39
385,65,2,15,72,18,99,51,34,70,51
886,94,45,59,83,61,2,73,28,47,57
523,56,13,24,80,81,78,99,10,28,83
596,41,28,53,16,54,29,91,59,53,76
429,45,17,53,65,1,41,40,22,58,22
639,16,75,87,58,30,63,52,28,100,23
692,85,71,3,83,75,61,6,59,76,65
723,62,2,33,85,36,72,34,4,69,62
709,26,100,74,5,60,40,55,97,19,48
210,51,79,63,93,75,31,41,77,23,91
454,70,33,15,38,29,47,99,70,33,70
357,66,92,20,84,65,81,15,51,92,36
972,78,80,50,23,41,6,77,20,47,17
717,61,69,92,13,62,14,4,62,3,83
164,64,47,98,100,57,9,22,25,79,65
780,76,61,94,41,20,22,28,11,2,50
171,68,54,33,91,95,63,100,85,16,56
902,9,80,99,3,96,79,50,77,20,33
716,6,67,64,93,98,20,28,13,78,53
165,79,14,67,98,60,58,69,23,52,97
168,60,66,16,46,1,50,65,3,48,41
466,59,1,5,93,9,81,57,42,23,45
86,64,92,44,84,99,95,76,89,98,64
59,87,34,76,63,16,42,47,58,88,26
202,54,91,6,2,56,51,76,65,5,51
766,27,51,16,29,64,83,6,86,89,45
101,79,100,98,22,6,72,6,16,18,42
551,39,73,27,43,57,44,89,34,20,19
796,31,85,87,60,76,26,19,51,47,5
748,10,63,98,74,43,55,48,67,91,69
61,21,86,58,15,71,21,26,4,2,8
640,98,44,61,13,69,36,65,90,27,13
408,84,76,82,56,70,55,3,57,84,39
253,35,4,66,54,65,3,45,95,77,35
856,81,63,31,49,87,5,48,42,72,79
515,50,42,46,9,88,85,57,16,10,78
724,13,55,58,72,40,93,93,36,33,52
319,23,41,9,72,26,80,61,37,3,39
595,8,3,64,67,59,99,11,41,79,56
606,76,6,66,82,88,31,53,26,96,11
573,44,74,22,85,27,61,7,43,3,55
900,54,37,45,61,37,37,12,54,98,55
154,15,35,6,6,42,35,39,100,16,84
731,4,68,50,60,4,81,6,21,5,16
135,80,18,98,71,90,20,6,48,90,77
313,25,37,84,16,87,29,56,26,66,7
634,15,15,21,32,53,73,53,42,41,86
422,23,47,60,20,7,90,39,17,56,68
441,15,38,92,80,70,98,59,36,4,99
695,58,6,10,47,74,74,20,21,19,54
370,74,30,34,39,39,18,7,72,52,98
371,77,98,30,70,69,56,18,98,90,18
832,64,35,93,95,94,84,56,32,9,97
782,93,8,96,20,31,85,74,13,55,62
799,51,36,25,92,5,56,48,70,24,62
14,90,98,43,47,47,80,12,92,77,43
287,52,97,91,88,97,91,11,35,47,39
700,56,56,67,86,37,37,30,19,58,61
357,92,56,3,90,66,89,41,30,93,90
629,89,32,53,69,79,24,1,25,35,73
482,9,86,84,67,43,23,53,96,64,65
379,55,99,96,28,76,34,90,62,74,16
806,92,15,49,52,36,97,59,72,100,54
324,50,82,95,76,67,69,78,79,47,61
600,60,91,65,54,9,11,75,18,12,18
382,7,28,69,82,86,39,92,29,61,61
380,77,41,52,18,10,50,41,9,97,37
207,73,28,93,31,51,83,4,16,46,4
82,40,65,46,2,64,33,18,11,28,96
968,44,41,8,53,42,79,21,37,75,6
284,56,70,89,55,55,2,13,57,91,69
804,90,74,42,5,50,57,5,98,9,11
467,49,74,3,42,72,74,8,70,81,8
698,7,79,46,14,28,35,17,14,66,92
217,95,4,77,66,16,16,91,96,35,42
80,21,29,92,4,5,81,89,33,59,55
372,32,89,46,9,64,65,87,26,25,11
547,42,44,1,78,91,4,98,83,43,51
427,36,7,2,15,63,58,26,74,57,7
28,28,92,70,24,9,72,55,64,7,63
781,94,62,40,74,83,76,4,71,83,48
60,34,70,89,87,85,40,84,61,68,30
846,68,73,7,28,83,73,70,77,39,25
734,6,59,38,57,84,36,24,71,63,23
625,62,100,59,7,13,68,60,83,81,41
